car,power,fuel,place,mileage,price,year,gearbox
Ford Focus 1.6 TDCi Gold X (Edition Start),115 KM,Diesel,Brzozów (Podkarpackie),142 000 km,19 500 PLN,2013,Manualna
Volkswagen Golf 1.4 Edition,80 KM,Benzyna,Majdan Golczański (Podkarpackie),168 000 km,17 500 PLN,2012,Manualna
Renault Megane ENERGY TCe 115 Start & Stopp LIMITED,116 KM,Benzyna,,153 000 km,,2012,Manualna
Opel Meriva 1.4 T Edition 150,120 KM,Benzyna+LPG,Stalowa Wola (Podkarpackie),194 796 km,19 900 PLN,2012,Manualna
Peugeot 208 1.4 VTi Active,95 KM,Benzyna,Rzeszów (Podkarpackie),129 657 km,null,2012,Manualna
Kia Rio 1.4 Business Line,109 KM,Benzyna,S?dzisz?w Ma?opolski (Podkarpackie),213 906 km,19 999 PLN,2016,Manualna
Ford Focus 1.5 TDCi Titanium,120 KM,Diesel,Przemy?l (Podkarpackie),288 000 km,18 900 PLN,2015,Manualna
Renault Zoe Zen,88 KM,Elektryczny,Rzesz?w (Podkarpackie),96 400 km,19 900 PLN,2014,Automatyczna
BMW Seria 1 116i Urban Line,136 KM,Benzyna,Rzesz?w (Podkarpackie),100 000 km,,2012,Manualna
Hyundai i10,66 KM,Benzyna,Nowosielce (Podkarpackie),82 171 km,19 900 PLN,2014,Manualna
Citroën C4 Picasso 2.0 BlueHDi Exclusive,150 KM,Diesel,Rzeszów (Podkarpackie),191 130 km,17 500 PLN,2013,Manualna
Citroën C3 Pure Tech (VTi) 82 Selection,82 KM,Benzyna,Jasionka (Podkarpackie),63 645 km,,2016,Manualna
Ford KA 1.2 Start-Stopp-System Ambiente,69 KM,Benzyna,Rzesz?w (Podkarpackie),122 500 km,13 900 PLN,2014,Manualna
Seat Ibiza SC 1.2 TDI Ecomotive Reference,75 KM,Diesel,Przemy?l (Podkarpackie),169 572 km,8 500 PLN,2014,Manualna
Seat Ibiza 1.6 TDI CR Reference,90 KM,Diesel,D?bica (Podkarpackie),152 000 km,19 999 PLN,2015,Manualna
Fiat Fiorino,77 KM,,,,,,
Dacia Duster,105 KM,Benzyna+LPG,Rzeszów (Podkarpackie),165 000 km,14 999 PLN,2012,Manualna
Citroën C4 Picasso 2.0 BlueHDi Exclusive,150 KM,"","","",17 500 PLN,2013,""
Dacia Duster,125 KM,benzyna,"","",19 800 PLN,2014,manual
Peugeot 208 1.2 VTi Style,82 KM,BENZYNA,"",62 376 km,"","",""
Ford Focus,125 KM,Benzyna,Nowosielce (Podkarpackie),52 914 km,18 500 PLN,2013,Manualna
Dacia Sandero 1.2 16V 75 Ambiance,75 KM,Benzyna,Kraczkowa (Podkarpackie),111 000 km,14 900 PLN,2013,Manualna
Chevrolet Aveo 1.6 LTZ,115 KM,Benzyna+LPG,Czarna (Podkarpackie),167 000 km,19 900 PLN,2012,Manualna
Citroën Berlingo,92 KM,,,,,,
Hyundai i20 1.2 Classic,78 KM,Benzyna,Rzeszów (Podkarpackie),141 000 km,14 900 PLN,2012,Manualna
Renault Twingo 1.2 16V Eco Dynamique,75 KM,Benzyna,Przemyśl (Podkarpackie),73 000 km,11 900 PLN,2012,Manualna
Mitsubishi Space Star 1.0 Plus,71 KM,Benzyna,Majdan Sieniawski (Podkarpackie),125 000 km,,2015,
Honda Jazz 1.4 i-VTEC CVT Trend,100 KM,Benzyna,Kraczkowa (Podkarpackie),142 000 km,14 900 PLN,2012,Automatyczna
Ford Fiesta 1.5 TDCi Platinium X,75 KM,Diesel,Rzeszów (Podkarpackie),170 000 km,18 900 PLN,2016,Manualna
Hyundai i20 1.2 Edition 20,78 KM,Benzyna,Domaradz (Podkarpackie),164 000 km,14 990 PLN,2012,Manualna
Skoda Citigo 1.0 Ambition,60 KM,Benzyna+LPG,"",178 000 km,19 800 PLN,"",""
Toyota Aygo 1.0 VVT-i,68 KM,Benzyna,Lubaczów (Podkarpackie),145 000 km,18 900 PLN,2013,Manualna
Seat Ibiza ST ver-1-6-tdi-cr-style,105 KM,Diesel,Humniska (Podkarpackie),210 000 km,15 900 PLN,2012,Manualna
Fiat Punto 1.2 Easy Pakiet Easy Plus,69 KM,Benzyna,Sokołów Małopolski (Podkarpackie),99 500 km,16 700 PLN,2015,Manualna
Fiat Punto 1.2 Easy Pakiet Easy Plus,69 KM,Benzyna,Soko??w Ma?opolski (Podkarpackie),99 500 km,16 700 PLN,2015.0,Manualna
Ford Fiesta 1.25 Ambiente EU5,60 KM,Benzyna,Brze?nica (Podkarpackie),98 000 km,19 900 PLN,2012.0,Manualna
Seat Ibiza ST ver-1-6-tdi-cr-style,105 KM,Diesel,Humniska (Podkarpackie),210 000 km,15 900 PLN,2012.0,Manualna
Renault Laguna,150 KM,Diesel,Izdebki (Podkarpackie),250 000 km,19 500 PLN,2013.0,Manualna
Opel Corsa 1.4 16V Color Edition,90 KM,Benzyna,Tarnobrzeg (Podkarpackie),180 000 km,19 900 PLN,2012.0,Manualna
Renault Scenic,132 KM,Benzyna,Mielec (Podkarpackie),137 700 km,19 999 PLN,2016.0,Manualna
Peugeot 208 1.4 VTi Allure,95 KM,,,,,,
Mitsubishi Space Star 1.0 Inform,71 KM,Benzyna,Rzesz?w (Podkarpackie),106 660 km,16 500 PLN,2013.0,Manualna
Renault Scenic dCi 110 EDC Xmod Bose Edition,110 KM,Diesel,Zawada (Podkarpackie),199 000 km,19 900 PLN,2014.0,Automatyczna
Dacia Sandero,73 KM,Benzyna+LPG,D?bica (Podkarpackie),238 000 km,10 900 PLN,2016.0,Manualna
Renault Twingo SCe 70 Expression,71 KM,Benzyna,Gr?b?w (Podkarpackie),90 500 km,19 500 PLN,2015.0,Manualna
Fiat Punto,75 KM,Diesel,Ustrzyki Dolne (Podkarpackie),215 350 km,11 562 PLN,2014.0,Manualna
